condition,subject,sub_task,block,acc
4F4K_congruent,67,2,13,0.7777777777777778
4F4K_congruent,67,2,14,0.6153846153846154
4F4K_congruent,67,2,15,0.7142857142857143
4F4K_congruent,71,1,0,0.46153846153846156
4F4K_congruent,71,1,1,0.8461538461538461
4F4K_congruent,71,1,2,0.8
4F4K_congruent,71,1,3,0.5
4F4K_congruent,71,1,4,0.9090909090909091
4F4K_congruent,71,1,5,0.6923076923076923
4F4K_congruent,71,1,6,0.9090909090909091
4F4K_congruent,71,1,7,0.8
4F4K_congruent,71,1,8,0.7142857142857143
4F4K_congruent,71,1,9,0.8333333333333334
4F4K_congruent,71,1,10,1.0
4F4K_congruent,71,1,11,0.9230769230769231
4F4K_congruent,71,1,12,1.0
4F4K_congruent,71,1,13,0.9230769230769231
4F4K_congruent,71,1,14,0.9166666666666666
4F4K_congruent,71,1,15,0.8888888888888888
4F4K_congruent,71,2,0,0.5
4F4K_congruent,71,2,1,0.8333333333333334
4F4K_congruent,71,2,2,0.7
4F4K_congruent,71,2,3,0.8
4F4K_congruent,71,2,4,0.7857142857142857
4F4K_congruent,71,2,5,0.8333333333333334
4F4K_congruent,71,2,6,0.8571428571428571
4F4K_congruent,71,2,7,0.8666666666666667
4F4K_congruent,71,2,8,0.7272727272727273
4F4K_congruent,71,2,9,0.9230769230769231
4F4K_congruent,71,2,10,0.9090909090909091
4F4K_congruent,71,2,11,0.9166666666666666
4F4K_congruent,71,2,12,0.8666666666666667
4F4K_congruent,71,2,13,0.9166666666666666
4F4K_congruent,71,2,14,1.0
4F4K_congruent,71,2,15,0.8
4F4K_congruent,75,1,0,0.6
4F4K_congruent,75,1,1,0.4444444444444444
4F4K_congruent,75,1,2,0.4
4F4K_congruent,75,1,3,0.6666666666666666
4F4K_congruent,75,1,4,0.9285714285714286
4F4K_congruent,75,1,5,0.9333333333333333
4F4K_congruent,75,1,6,0.8
4F4K_congruent,75,1,7,0.9285714285714286
4F4K_congruent,75,1,8,0.8
4F4K_congruent,75,1,9,0.9285714285714286
4F4K_congruent,75,1,10,0.8571428571428571
4F4K_congruent,75,1,11,0.7692307692307693
4F4K_congruent,75,1,12,0.9090909090909091
4F4K_congruent,75,1,13,0.9230769230769231
4F4K_congruent,75,1,14,0.9230769230769231
4F4K_congruent,75,1,15,0.6
4F4K_congruent,75,2,0,0.4
4F4K_congruent,75,2,1,0.7142857142857143
4F4K_congruent,75,2,2,0.6
4F4K_congruent,75,2,3,0.5384615384615384
4F4K_congruent,75,2,4,0.5454545454545454
4F4K_congruent,75,2,5,0.8
4F4K_congruent,75,2,6,0.6
4F4K_congruent,75,2,7,0.6363636363636364
4F4K_congruent,75,2,8,0.9
4F4K_congruent,75,2,9,0.8181818181818182
4F4K_congruent,75,2,10,0.8181818181818182
4F4K_congruent,75,2,11,0.6666666666666666
4F4K_congruent,75,2,12,0.7857142857142857
4F4K_congruent,75,2,13,0.8333333333333334
4F4K_congruent,75,2,14,0.6666666666666666
4F4K_congruent,75,2,15,0.7777777777777778
4F4K_congruent,79,1,0,0.5
4F4K_congruent,79,1,1,0.6666666666666666
4F4K_congruent,79,1,2,0.7
4F4K_congruent,79,1,3,0.7333333333333333
4F4K_congruent,79,1,4,0.6666666666666666
4F4K_congruent,79,1,5,0.7
4F4K_congruent,79,1,6,0.9090909090909091
4F4K_congruent,79,1,7,0.75
4F4K_congruent,79,1,8,0.8333333333333334
4F4K_congruent,79,1,9,0.875
4F4K_congruent,79,1,10,0.7272727272727273
4F4K_congruent,79,1,11,1.0
4F4K_congruent,79,1,12,0.8461538461538461
4F4K_congruent,79,1,13,0.8666666666666667
